link_id;ticket_id;ticket_barcode;bracelet_id;bracelet_uid;timestamp;actie
365;158111;8217422615244;1581804;042B86EAA95281;2017-04-14 23:07:13.047;linktoken
366;124155;2196749201667;1622437;04E38AEAA95280;2017-04-14 23:07:22.713;linktoken
367;145460;9411211859409;1583184;0421D8EAA95280;2017-04-14 23:07:28.887;linktoken
368;124154;1367193727206;1622438;048E73EAA95280;2017-04-14 23:07:34.413;linktoken
369;157314;7450098830189;1583126;048DD9EAA95280;2017-04-14 23:07:44.520;linktoken
370;126478;7083893357690;1622448;04C8E9EAA95280;2017-04-14 23:07:51.260;linktoken
371;138043;3538389457506;1622057;04A979EAA95280;2017-04-14 23:07:59.970;linktoken
372;141842;2588637012880;1582917;041095EAA95280;2017-04-14 23:08:02.890;linktoken
373;126477;8943517860595;1622472;0491D3EAA95280;2017-04-14 23:08:04.310;linktoken
374;139340;1260842580668;1622188;047F70EAA95281;2017-04-14 23:08:11.470;linktoken
375;133719;7352326343716;1583172;045CAAEAA95281;2017-04-14 23:08:13.490;linktoken
377;133718;8955798652875;1583190;040CEEEAA95281;2017-04-14 23:08:29.477;linktoken
379;120379;3392634066277;1583157;04ABA3EAA95280;2017-04-14 23:08:39.340;linktoken
380;139341;2266997548866;1622195;04539AEAA95280;2017-04-14 23:08:42.023;linktoken
381;122714;9390726070922;1583179;0423A6EAA95281;2017-04-14 23:08:46.647;linktoken
382;124959;2407987077793;1622433;045489EAA95281;2017-04-14 23:08:48.383;linktoken
384;141764;9902571054134;1583216;0437D9EAA95281;2017-04-14 23:09:00.417;linktoken
385;141764;9902571054134;1583216;;2017-04-14 23:09:01.193;removetoken
386;118487;8924857136489;1622175;04017EEAA95281;2017-04-14 23:09:02.840;linktoken
387;124936;1385592253058;1621610;047D86EAA95280;2017-04-14 23:09:10.730;linktoken
388;121142;7641175798861;1622197;0426C8EAA95281;2017-04-14 23:09:18.413;linktoken
389;120380;5206060502101;1582874;040218EAA95285;2017-04-14 23:09:19.703;linktoken
390;134685;7209524782390;1583193;0480A1EAA95280;2017-04-14 23:09:22.767;linktoken
392;134686;2175404608669;1582460;045C84EAA95280;2017-04-14 23:09:35.103;linktoken
393;123927;2356273662789;1621124;046C8AEAA95280;2017-04-14 23:09:38.073;linktoken
394;139362;7896583186025;1622192;04FFEFEAA95280;2017-04-14 23:09:45.720;linktoken
396;136641;8579362326025;1583194;044CF0EAA95280;2017-04-14 23:09:58.197;linktoken
397;127780;9367892365954;1622713;0451DBEAA95280;2017-04-14 23:09:59.537;linktoken
398;138373;1566587943202;1621116;048BA4EAA95280;2017-04-14 23:10:00.133;linktoken
399;128789;2224750004110;1622429;04DB89EAA95280;2017-04-14 23:10:09.187;linktoken
400;120382;2469130874185;1582433;04B812EAA95284;2017-04-14 23:10:11.470;linktoken
401;120399;8203249574116;1583134;04F9ECEAA95280;2017-04-14 23:10:14.770;linktoken
402;120400;4503921733706;1581831;040BEEEAA95281;2017-04-14 23:10:23.063;linktoken
403;120384;3459091366651;1583176;04BAA1EAA95280;2017-04-14 23:10:27.660;linktoken
404;124906;6963171702385;1621600;043DF3EAA95281;2017-04-14 23:10:30.710;linktoken
405;120381;3397938189264;1584778;04E901EAA95284;2017-04-14 23:10:40.450;linktoken
406;142989;6207310820043;1581771;0478D2EAA95280;2017-04-14 23:10:52.970;linktoken
407;132959;9895540448440;1584787;048CA5EAA95280;2017-04-14 23:10:54.433;linktoken
408;139361;3465922987766;1622200;04ACA4EAA95280;2017-04-14 23:11:06.740;linktoken
409;120383;9699864113509;1583136;045708EAA95284;2017-04-14 23:11:16.240;linktoken
410;135512;1365286433584;1581758;04E284EAA95280;2017-04-14 23:11:19.440;linktoken
411;116499;6852363726585;1622068;04108EEAA95280;2017-04-14 23:11:20.323;linktoken
412;140275;8928078599764;1584814;04D0D5EAA95280;2017-04-14 23:11:31.923;linktoken
